timestamp,device,out_channels,mode,frequency_hz,amplitude_dbfs,L_rms_dbfs,R_rms_dbfs,L_peak_dbfs,R_peak_dbfs,L_crest,R_crest,balance_db,L_thd_pct,R_thd_pct,L_xtalk_dbfs,R_xtalk_dbfs
2026-03-16T12:32:22,short_green,"1,2",L_only,20.0,-6,-26.3,-43.61,-21.68,-43.27,1.702,1.04,17.302,0.608,83.567,,-115.78
2026-03-16T12:32:24,short_green,"1,2",R_only,20.0,-6,-33.91,-27.27,-33.8,-23.46,1.012,1.549,-6.64,67.071,0.702,-114.98,
2026-03-16T12:32:26,short_green,"1,2",both,20.0,-6,-26.31,-27.26,-21.69,-23.46,1.702,1.549,0.957,0.582,0.643,,
2026-03-16T12:32:28,short_green,"1,2",L_only,25.96,-6,-24.49,-43.58,-20.03,-43.23,1.67,1.042,19.095,0.485,75.972,,-113.96
2026-03-16T12:32:30,short_green,"1,2",R_only,25.96,-6,-33.91,-25.18,-33.8,-21.52,1.013,1.523,-8.737,159.355,0.579,-119.62,
2026-03-16T12:32:32,short_green,"1,2",both,25.96,-6,-24.5,-25.18,-20.04,-21.52,1.671,1.524,0.681,0.492,0.54,,
2026-03-16T12:32:34,short_green,"1,2",L_only,33.69,-6,-22.63,-43.61,-18.37,-43.27,1.632,1.04,20.979,0.401,115.934,,-118.78
2026-03-16T12:32:36,short_green,"1,2",R_only,33.69,-6,-33.92,-23.14,-33.79,-19.61,1.015,1.502,-10.771,44.623,0.481,-112.8,
2026-03-16T12:32:38,short_green,"1,2",both,33.69,-6,-22.63,-23.14,-18.37,-19.62,1.633,1.501,0.511,0.41,0.452,,
2026-03-16T12:32:40,short_green,"1,2",L_only,43.73,-6,-20.83,-43.58,-16.74,-43.27,1.601,1.037,22.751,0.325,84.078,,-115.0
2026-03-16T12:32:42,short_green,"1,2",R_only,43.73,-6,-33.9,-21.23,-33.79,-17.79,1.013,1.485,-12.676,99.77,0.391,-116.55,
2026-03-16T12:32:44,short_green,"1,2",both,43.73,-6,-20.83,-21.23,-16.74,-17.79,1.601,1.485,0.396,0.336,0.369,,
2026-03-16T12:32:46,short_green,"1,2",L_only,56.75,-6,-19.15,-43.61,-15.22,-43.27,1.571,1.04,24.46,0.254,42.394,,-115.21
2026-03-16T12:32:48,short_green,"1,2",R_only,56.75,-6,-33.91,-19.46,-33.71,-16.1,1.023,1.472,-14.448,108.92,0.306,-115.08,
2026-03-16T12:32:50,short_green,"1,2",both,56.75,-6,-19.15,-19.46,-15.22,-16.11,1.572,1.472,0.313,0.261,0.289,,
2026-03-16T12:32:53,short_green,"1,2",L_only,73.66,-6,-17.68,-43.6,-13.86,-43.23,1.551,1.044,25.926,0.188,55.004,,-115.16
2026-03-16T12:32:55,short_green,"1,2",R_only,73.66,-6,-33.9,-17.93,-33.7,-14.62,1.024,1.464,-15.973,100.567,0.227,-114.8,
2026-03-16T12:32:57,short_green,"1,2",both,73.66,-6,-17.68,-17.93,-13.87,-14.62,1.551,1.464,0.248,0.195,0.217,,
2026-03-16T12:32:59,short_green,"1,2",L_only,95.6,-6,-16.46,-43.59,-12.73,-43.27,1.535,1.038,27.133,0.134,49.761,,-114.38
2026-03-16T12:33:01,short_green,"1,2",R_only,95.6,-6,-33.91,-16.65,-33.79,-13.38,1.014,1.458,-17.255,73.186,0.163,-116.83,
2026-03-16T12:33:03,short_green,"1,2",both,95.6,-6,-16.46,-16.65,-12.73,-13.38,1.536,1.457,0.191,0.138,0.155,,
2026-03-16T12:33:05,short_green,"1,2",L_only,124.07,-6,-15.51,-43.58,-11.85,-43.27,1.525,1.037,28.067,0.089,25.583,,-111.95
2026-03-16T12:33:07,short_green,"1,2",R_only,124.07,-6,-33.9,-15.66,-33.79,-12.41,1.013,1.453,-18.242,56.692,0.111,-115.91,
2026-03-16T12:33:09,short_green,"1,2",both,124.07,-6,-15.52,-15.66,-11.85,-12.41,1.525,1.453,0.142,0.092,0.105,,
2026-03-16T12:33:11,short_green,"1,2",L_only,161.03,-6,-14.82,-43.58,-11.2,-43.27,1.517,1.037,28.757,0.056,39.564,,-113.63
2026-03-16T12:33:13,short_green,"1,2",R_only,161.03,-6,-33.9,-14.93,-33.77,-11.7,1.015,1.451,-18.974,123.871,0.071,-120.67,
2026-03-16T12:33:15,short_green,"1,2",both,161.03,-6,-14.83,-14.93,-11.2,-11.69,1.519,1.451,0.104,0.058,0.067,,
2026-03-16T12:33:17,short_green,"1,2",L_only,209.0,-6,-14.35,-43.59,-10.76,-43.27,1.512,1.039,29.245,0.032,31.723,,-112.63
2026-03-16T12:33:19,short_green,"1,2",R_only,209.0,-6,-33.91,-14.42,-33.74,-11.2,1.02,1.449,-19.482,119.414,0.042,-122.18,
2026-03-16T12:33:21,short_green,"1,2",both,209.0,-6,-14.35,-14.43,-10.75,-11.21,1.513,1.449,0.074,0.034,0.039,,
2026-03-16T12:33:23,short_green,"1,2",L_only,271.26,-6,-14.04,-43.61,-10.46,-43.15,1.51,1.055,29.571,0.018,41.822,,-114.8
2026-03-16T12:33:25,short_green,"1,2",R_only,271.26,-6,-33.91,-14.09,-33.75,-10.88,1.019,1.448,-19.817,97.249,0.023,-118.88,
2026-03-16T12:33:28,short_green,"1,2",both,271.26,-6,-14.04,-14.09,-10.47,-10.88,1.509,1.448,0.051,0.019,0.022,,
2026-03-16T12:33:30,short_green,"1,2",L_only,352.06,-6,-13.85,-43.61,-10.28,-43.19,1.507,1.049,29.759,0.011,33.032,,-113.26
2026-03-16T12:33:32,short_green,"1,2",R_only,352.06,-6,-33.9,-13.89,-33.76,-10.67,1.016,1.447,-20.016,85.932,0.013,-119.22,
2026-03-16T12:33:34,short_green,"1,2",both,352.06,-6,-13.85,-13.89,-10.28,-10.68,1.508,1.447,0.037,0.012,0.013,,
2026-03-16T12:33:36,short_green,"1,2",L_only,456.94,-6,-13.74,-43.62,-10.18,-43.3,1.506,1.037,29.88,0.011,31.907,,-113.55
2026-03-16T12:33:38,short_green,"1,2",R_only,456.94,-6,-33.89,-13.76,-33.77,-10.56,1.013,1.446,-20.128,68.059,0.012,-118.79,
2026-03-16T12:33:40,short_green,"1,2",both,456.94,-6,-13.74,-13.76,-10.18,-10.56,1.506,1.446,0.026,0.011,0.011,,
2026-03-16T12:33:42,short_green,"1,2",L_only,593.05,-6,-13.68,-43.58,-10.12,-43.23,1.506,1.042,29.903,0.013,50.636,,-116.21
2026-03-16T12:33:44,short_green,"1,2",R_only,593.05,-6,-33.9,-13.7,-33.79,-10.49,1.013,1.446,-20.202,59.651,0.013,-117.18,
2026-03-16T12:33:46,short_green,"1,2",both,593.05,-6,-13.68,-13.7,-10.12,-10.5,1.506,1.446,0.02,0.013,0.013,,
2026-03-16T12:33:48,short_green,"1,2",L_only,769.71,-6,-13.66,-43.59,-10.11,-43.23,1.506,1.043,29.931,0.015,37.349,,-114.93
2026-03-16T12:33:50,short_green,"1,2",R_only,769.71,-6,-33.91,-13.68,-33.79,-10.47,1.014,1.446,-20.232,75.805,0.014,-121.23,
2026-03-16T12:33:52,short_green,"1,2",both,769.71,-6,-13.66,-13.68,-10.11,-10.47,1.506,1.446,0.016,0.014,0.015,,
2026-03-16T12:33:54,short_green,"1,2",L_only,999.0,-6,-13.68,-43.55,-10.13,-43.19,1.506,1.043,29.87,0.016,31.375,,-111.19
2026-03-16T12:33:56,short_green,"1,2",R_only,999.0,-6,-33.9,-13.7,-33.79,-10.49,1.014,1.447,-20.208,41.723,0.016,-114.3,
2026-03-16T12:33:58,short_green,"1,2",both,999.0,-6,-13.68,-13.7,-10.13,-10.49,1.506,1.446,0.014,0.016,0.016,,
2026-03-16T12:34:00,short_green,"1,2",L_only,1000.0,-6,-13.68,-43.6,-10.14,-43.27,1.504,1.039,29.917,0.014,57.98,,-109.09
2026-03-16T12:34:03,short_green,"1,2",R_only,1000.0,-6,-33.91,-13.7,-33.8,-10.5,1.013,1.444,-20.217,102.345,0.015,-113.55,
2026-03-16T12:34:05,short_green,"1,2",both,1000.0,-6,-13.68,-13.7,-10.14,-10.51,1.504,1.444,0.014,0.014,0.014,,
2026-03-16T12:34:07,short_green,"1,2",L_only,1534.13,-6,-13.8,-43.59,-10.22,-42.96,1.51,1.075,29.798,0.016,28.605,,-114.11
2026-03-16T12:34:09,short_green,"1,2",R_only,1534.13,-6,-33.9,-13.81,-33.79,-10.6,1.014,1.447,-20.096,71.176,0.016,-120.37,
2026-03-16T12:34:11,short_green,"1,2",both,1534.13,-6,-13.8,-13.81,-10.23,-10.6,1.507,1.447,0.013,0.016,0.016,,
2026-03-16T12:34:13,short_green,"1,2",L_only,2353.55,-6,-13.99,-43.6,-10.42,-43.23,1.509,1.044,29.61,0.016,27.878,,-113.73
2026-03-16T12:34:15,short_green,"1,2",R_only,2353.55,-6,-33.92,-14.01,-33.8,-10.79,1.013,1.448,-19.91,96.895,0.017,-121.77,
2026-03-16T12:34:17,short_green,"1,2",both,2353.55,-6,-13.99,-14.01,-10.42,-10.79,1.509,1.448,0.014,0.016,0.016,,
2026-03-16T12:34:19,short_green,"1,2",L_only,3610.64,-6,-14.05,-43.61,-10.47,-43.27,1.51,1.04,29.555,0.017,45.876,,-113.9
2026-03-16T12:34:21,short_green,"1,2",R_only,3610.64,-6,-33.9,-14.07,-33.79,-10.85,1.013,1.448,-19.83,77.762,0.018,-121.44,
2026-03-16T12:34:23,short_green,"1,2",both,3610.64,-6,-14.05,-14.07,-10.48,-10.85,1.51,1.448,0.014,0.017,0.017,,
2026-03-16T12:34:25,short_green,"1,2",L_only,5539.18,-6,-13.61,-43.58,-10.05,-43.27,1.505,1.037,29.976,0.018,19.095,,-110.34
2026-03-16T12:34:27,short_green,"1,2",R_only,5539.18,-6,-33.91,-13.62,-33.79,-10.41,1.014,1.446,-20.29,64.242,0.018,-119.24,
2026-03-16T12:34:29,short_green,"1,2",both,5539.18,-6,-13.61,-13.62,-10.06,-10.41,1.505,1.446,0.01,0.017,0.018,,
2026-03-16T12:34:31,short_green,"1,2",L_only,8497.81,-6,-13.94,-43.58,-10.37,-43.23,1.509,1.042,29.637,0.019,9.079,,-108.34
2026-03-16T12:34:33,short_green,"1,2",R_only,8497.81,-6,-33.9,-13.96,-33.8,-10.74,1.012,1.448,-19.944,25.087,0.018,-118.63,
2026-03-16T12:34:35,short_green,"1,2",both,8497.81,-6,-13.95,-13.96,-10.37,-10.75,1.509,1.447,0.013,0.018,0.018,,
2026-03-16T12:34:38,short_green,"1,2",L_only,13036.73,-6,-13.55,-43.57,-9.99,-42.85,1.507,1.086,30.013,0.0,0.0,,-104.06
2026-03-16T12:34:40,short_green,"1,2",R_only,13036.73,-6,-33.9,-13.56,-33.52,-10.36,1.045,1.446,-20.343,0.0,0.0,-117.47,
2026-03-16T12:34:42,short_green,"1,2",both,13036.73,-6,-13.55,-13.56,-10.01,-10.36,1.505,1.446,0.009,0.0,0.0,,
2026-03-16T12:34:44,short_green,"1,2",L_only,20000.0,-6,-15.4,-43.56,-11.75,-43.15,1.524,1.048,28.154,0.0,0.0,,-102.13
2026-03-16T12:34:46,short_green,"1,2",R_only,20000.0,-6,-33.9,-15.43,-33.77,-12.18,1.015,1.454,-18.47,0.0,0.0,-118.6,
2026-03-16T12:34:48,short_green,"1,2",both,20000.0,-6,-15.41,-15.43,-11.75,-12.19,1.524,1.453,0.028,0.0,0.0,,
2026-03-16T12:34:50,short_green,"1,2",L_only,20.0,-12,-30.56,-43.57,-25.84,-43.23,1.721,1.041,13.012,0.327,94.588,,-114.7
2026-03-16T12:34:52,short_green,"1,2",R_only,20.0,-12,-33.91,-33.1,-33.8,-28.74,1.012,1.652,-0.806,83.999,0.397,-117.61,
2026-03-16T12:34:54,short_green,"1,2",both,20.0,-12,-30.56,-33.1,-25.84,-28.74,1.721,1.653,2.545,0.314,0.366,,
2026-03-16T12:34:56,short_green,"1,2",L_only,25.96,-12,-29.29,-43.57,-24.5,-43.23,1.736,1.04,14.272,0.265,115.282,,-117.17
2026-03-16T12:34:58,short_green,"1,2",R_only,25.96,-12,-33.9,-31.12,-33.8,-26.96,1.012,1.615,-2.781,134.925,0.326,-119.62,
2026-03-16T12:35:00,short_green,"1,2",both,25.96,-12,-29.3,-31.12,-24.49,-26.94,1.738,1.617,1.822,0.267,0.298,,
2026-03-16T12:35:02,short_green,"1,2",L_only,33.69,-12,-27.83,-43.55,-23.09,-43.23,1.727,1.038,15.718,0.218,96.639,,-116.9
2026-03-16T12:35:04,short_green,"1,2",R_only,33.69,-12,-33.9,-29.15,-33.8,-25.16,1.012,1.582,-4.755,92.03,0.266,-115.11,
2026-03-16T12:35:06,short_green,"1,2",both,33.69,-12,-27.84,-29.15,-23.09,-25.17,1.727,1.58,1.308,0.227,0.253,,
2026-03-16T12:35:08,short_green,"1,2",L_only,43.73,-12,-26.3,-43.55,-21.62,-42.89,1.715,1.079,17.242,0.178,126.163,,-113.74
2026-03-16T12:35:10,short_green,"1,2",R_only,43.73,-12,-33.9,-27.26,-33.44,-23.39,1.054,1.56,-6.645,266.917,0.215,-114.56,
2026-03-16T12:35:12,short_green,"1,2",both,43.73,-12,-26.31,-27.26,-21.66,-23.44,1.708,1.551,0.946,0.197,0.21,,
2026-03-16T12:35:15,short_green,"1,2",L_only,56.75,-12,-24.8,-43.56,-20.25,-42.74,1.688,1.099,18.766,0.142,81.189,,-112.97
2026-03-16T12:35:17,short_green,"1,2",R_only,56.75,-12,-33.91,-25.5,-33.48,-21.79,1.05,1.533,-8.406,56.031,0.168,-113.86,
2026-03-16T12:35:19,short_green,"1,2",both,56.75,-12,-24.8,-25.5,-20.32,-21.81,1.675,1.529,0.699,0.143,0.158,,
2026-03-16T12:35:21,short_green,"1,2",L_only,73.66,-12,-23.43,-43.54,-19.08,-43.15,1.65,1.046,20.112,0.101,44.004,,-115.56
2026-03-16T12:35:23,short_green,"1,2",R_only,73.66,-12,-33.91,-23.96,-33.8,-20.36,1.013,1.513,-9.953,70.978,0.124,-116.27,
2026-03-16T12:35:25,short_green,"1,2",both,73.66,-12,-23.43,-23.96,-19.09,-20.37,1.649,1.512,0.527,0.107,0.119,,
2026-03-16T12:35:27,short_green,"1,2",L_only,95.6,-12,-22.27,-43.57,-18.03,-43.23,1.628,1.04,21.301,0.071,53.57,,-115.14
2026-03-16T12:35:29,short_green,"1,2",R_only,95.6,-12,-33.9,-22.67,-33.77,-19.15,1.015,1.5,-11.232,49.412,0.085,-115.65,
2026-03-16T12:35:31,short_green,"1,2",both,95.6,-12,-22.27,-22.67,-18.04,-19.15,1.628,1.5,0.402,0.072,0.084,,
2026-03-16T12:35:33,short_green,"1,2",L_only,124.07,-12,-21.35,-43.56,-17.21,-43.23,1.612,1.039,22.202,0.046,43.439,,-115.35
2026-03-16T12:35:35,short_green,"1,2",R_only,124.07,-12,-33.91,-21.67,-33.79,-18.19,1.014,1.492,-12.241,50.162,0.057,-114.2,
2026-03-16T12:35:37,short_green,"1,2",both,124.07,-12,-21.36,-21.67,-17.21,-18.19,1.613,1.492,0.31,0.045,0.055,,
2026-03-16T12:35:39,short_green,"1,2",L_only,161.03,-12,-20.68,-43.5,-16.57,-42.78,1.605,1.087,22.816,0.029,56.795,,-115.33
2026-03-16T12:35:41,short_green,"1,2",R_only,161.03,-12,-33.91,-20.93,-33.46,-17.48,1.054,1.487,-12.986,73.365,0.035,-117.34,
2026-03-16T12:35:43,short_green,"1,2",both,161.03,-12,-20.68,-20.93,-16.6,-17.49,1.601,1.486,0.245,0.029,0.032,,
