timestamp,device,out_channels,mode,frequency_hz,amplitude_dbfs,L_rms_dbfs,R_rms_dbfs,L_peak_dbfs,R_peak_dbfs,L_crest,R_crest,balance_db,L_thd_pct,R_thd_pct,L_xtalk_dbfs,R_xtalk_dbfs
2026-03-16T12:12:43,short_orange,"3,4",L_only,20.0,-6,-33.92,-43.6,-33.81,-43.27,1.012,1.039,9.677,123.752,163.391,,-120.1
2026-03-16T12:12:45,short_orange,"3,4",R_only,20.0,-6,-33.92,-43.59,-33.81,-43.19,1.012,1.047,9.671,75.343,142.578,-114.14,
2026-03-16T12:12:48,short_orange,"3,4",both,20.0,-6,-33.93,-43.61,-33.81,-43.3,1.013,1.035,9.679,143.851,93.933,,
2026-03-16T12:12:50,short_orange,"3,4",L_only,25.96,-6,-33.93,-43.57,-33.81,-43.23,1.013,1.04,9.644,170.525,179.448,,-122.03
2026-03-16T12:12:52,short_orange,"3,4",R_only,25.96,-6,-33.92,-43.57,-33.81,-43.27,1.013,1.036,9.645,170.441,294.243,-120.5,
2026-03-16T12:12:54,short_orange,"3,4",both,25.96,-6,-33.93,-43.59,-33.83,-43.27,1.012,1.039,9.661,127.135,78.132,,
2026-03-16T12:12:56,short_orange,"3,4",L_only,33.69,-6,-33.93,-43.56,-33.81,-43.23,1.013,1.04,9.636,119.052,239.287,,-124.83
2026-03-16T12:12:58,short_orange,"3,4",R_only,33.69,-6,-33.93,-43.56,-33.81,-43.23,1.013,1.039,9.635,112.037,195.89,-120.95,
2026-03-16T12:13:00,short_orange,"3,4",both,33.69,-6,-33.92,-43.61,-33.83,-43.27,1.011,1.041,9.686,111.581,72.673,,
2026-03-16T12:13:02,short_orange,"3,4",L_only,43.73,-6,-33.93,-43.58,-33.8,-43.27,1.015,1.037,9.656,139.448,136.003,,-119.62
2026-03-16T12:13:04,short_orange,"3,4",R_only,43.73,-6,-33.93,-43.56,-33.81,-43.23,1.014,1.039,9.629,97.917,146.263,-118.65,
2026-03-16T12:13:06,short_orange,"3,4",both,43.73,-6,-33.94,-43.58,-33.83,-43.23,1.013,1.041,9.642,163.672,138.258,,
2026-03-16T12:13:08,short_orange,"3,4",L_only,56.75,-6,-33.93,-43.57,-33.8,-43.27,1.015,1.036,9.636,135.773,216.727,,-126.22
2026-03-16T12:13:10,short_orange,"3,4",R_only,56.75,-6,-33.93,-43.56,-33.83,-43.23,1.012,1.039,9.629,127.967,149.553,-122.12,
2026-03-16T12:13:12,short_orange,"3,4",both,56.75,-6,-33.93,-43.61,-33.83,-43.3,1.012,1.035,9.672,69.852,242.013,,
2026-03-16T12:13:14,short_orange,"3,4",L_only,73.66,-6,-33.93,-43.57,-33.83,-43.19,1.011,1.045,9.642,142.531,177.692,,-124.6
2026-03-16T12:13:16,short_orange,"3,4",R_only,73.66,-6,-33.93,-43.57,-33.81,-43.23,1.013,1.04,9.641,107.455,156.344,-120.75,
2026-03-16T12:13:18,short_orange,"3,4",both,73.66,-6,-33.94,-43.63,-33.83,-43.34,1.013,1.033,9.691,73.853,135.351,,
2026-03-16T12:13:20,short_orange,"3,4",L_only,95.6,-6,-33.93,-43.59,-33.8,-43.27,1.014,1.039,9.669,217.004,116.49,,-121.66
2026-03-16T12:13:23,short_orange,"3,4",R_only,95.6,-6,-33.92,-43.6,-33.79,-43.3,1.015,1.035,9.681,307.264,68.651,-127.58,
2026-03-16T12:13:25,short_orange,"3,4",both,95.6,-6,-33.92,-43.59,-33.83,-43.23,1.011,1.042,9.662,80.899,142.26,,
2026-03-16T12:13:27,short_orange,"3,4",L_only,124.07,-6,-33.92,-43.57,-33.8,-43.27,1.014,1.036,9.649,125.859,158.457,,-124.55
