timestamp,device,mode,frequency_hz,amplitude_dbfs,L_rms_dbfs,R_rms_dbfs,L_peak_dbfs,R_peak_dbfs,L_crest,R_crest,balance_db,L_thd_pct,R_thd_pct
2026-03-16T11:07:00,turquoise,L_only,20.0,-6,-26.15,-43.62,-21.54,-43.27,1.701,1.042,17.47,0.635,149.295
2026-03-16T11:07:02,turquoise,R_only,20.0,-6,-33.91,-27.08,-33.8,-23.29,1.013,1.547,-6.832,75.988,0.713
2026-03-16T11:07:04,turquoise,both,20.0,-6,-26.15,-27.07,-21.54,-23.28,1.7,1.547,0.922,0.599,0.64
2026-03-16T11:07:07,turquoise,L_only,25.96,-6,-24.32,-43.58,-19.89,-43.27,1.667,1.037,19.254,0.49,59.5
2026-03-16T11:07:09,turquoise,R_only,25.96,-6,-33.9,-24.99,-33.79,-21.35,1.014,1.52,-8.914,127.141,0.571
2026-03-16T11:07:11,turquoise,both,25.96,-6,-24.33,-24.99,-19.89,-21.34,1.666,1.521,0.659,0.498,0.532
2026-03-16T11:07:13,turquoise,L_only,33.69,-6,-22.47,-43.61,-18.22,-43.27,1.631,1.041,21.146,0.4,67.81
2026-03-16T11:07:15,turquoise,R_only,33.69,-6,-33.91,-22.97,-33.8,-19.45,1.013,1.5,-10.941,78.351,0.471
2026-03-16T11:07:17,turquoise,both,33.69,-6,-22.47,-22.97,-18.22,-19.45,1.631,1.499,0.495,0.411,0.441
2026-03-16T11:07:19,turquoise,L_only,43.73,-6,-20.67,-43.6,-16.6,-43.27,1.598,1.039,22.923,0.318,58.702
2026-03-16T11:07:21,turquoise,R_only,43.73,-6,-33.91,-21.06,-33.8,-17.64,1.013,1.484,-12.847,89.012,0.38
2026-03-16T11:07:23,turquoise,both,43.73,-6,-20.68,-21.06,-16.6,-17.64,1.598,1.483,0.384,0.328,0.358
2026-03-16T11:07:25,turquoise,L_only,56.75,-6,-19.01,-43.6,-15.09,-43.27,1.57,1.039,24.592,0.244,104.389
2026-03-16T11:07:27,turquoise,R_only,56.75,-6,-33.9,-19.32,-33.77,-15.97,1.015,1.471,-14.587,73.142,0.296
2026-03-16T11:07:29,turquoise,both,56.75,-6,-19.01,-19.32,-15.09,-15.97,1.57,1.47,0.304,0.247,0.277
2026-03-16T11:07:31,turquoise,L_only,73.66,-6,-17.56,-43.62,-13.76,-43.3,1.55,1.037,26.057,0.176,45.599
2026-03-16T11:07:33,turquoise,R_only,73.66,-6,-33.91,-17.81,-33.8,-14.5,1.013,1.463,-16.104,73.919,0.214
2026-03-16T11:07:35,turquoise,both,73.66,-6,-17.56,-17.81,-13.76,-14.5,1.55,1.463,0.241,0.184,0.204
2026-03-16T11:07:37,turquoise,L_only,95.6,-6,-16.36,-43.64,-12.64,-43.3,1.534,1.039,27.274,0.123,81.118
2026-03-16T11:07:39,turquoise,R_only,95.6,-6,-33.91,-16.55,-33.81,-13.28,1.011,1.457,-17.359,87.104,0.155
2026-03-16T11:07:41,turquoise,both,95.6,-6,-16.37,-16.55,-12.64,-13.29,1.535,1.457,0.187,0.126,0.146
