timestamp,device,out_channels,mode,frequency_hz,amplitude_dbfs,L_rms_dbfs,R_rms_dbfs,L_peak_dbfs,R_peak_dbfs,L_crest,R_crest,balance_db,L_thd_pct,R_thd_pct,L_xtalk_dbfs,R_xtalk_dbfs
2026-03-16T13:26:09,turquoise_orange,"3,4",L_only,20.0,-6,-26.36,-43.5,-21.73,-43.19,1.704,1.036,17.137,0.622,65.154,,-111.51
2026-03-16T13:26:11,turquoise_orange,"3,4",R_only,20.0,-6,-33.92,-27.3,-33.8,-23.47,1.013,1.554,-6.619,68.736,0.735,-114.2,
2026-03-16T13:26:13,turquoise_orange,"3,4",both,20.0,-6,-26.36,-27.29,-21.73,-23.47,1.704,1.553,0.932,0.587,0.679,,
2026-03-16T13:26:15,turquoise_orange,"3,4",L_only,25.96,-6,-24.54,-43.47,-20.07,-43.15,1.673,1.037,18.924,0.49,90.353,,-116.88
2026-03-16T13:26:17,turquoise_orange,"3,4",R_only,25.96,-6,-33.92,-25.2,-33.81,-21.53,1.012,1.527,-8.715,66.43,0.605,-114.99,
2026-03-16T13:26:19,turquoise_orange,"3,4",both,25.96,-6,-24.55,-25.2,-20.08,-21.53,1.673,1.526,0.655,0.494,0.566,,
2026-03-16T13:26:21,turquoise_orange,"3,4",L_only,33.69,-6,-22.68,-43.49,-18.41,-43.15,1.635,1.04,20.808,0.399,118.382,,-116.96
2026-03-16T13:26:23,turquoise_orange,"3,4",R_only,33.69,-6,-33.92,-23.17,-33.8,-19.62,1.013,1.505,-10.746,121.746,0.498,-119.45,
2026-03-16T13:26:25,turquoise_orange,"3,4",both,33.69,-6,-22.69,-23.17,-18.42,-19.62,1.635,1.505,0.482,0.41,0.469,,
2026-03-16T13:26:27,turquoise_orange,"3,4",L_only,43.73,-6,-20.88,-43.51,-16.78,-43.19,1.602,1.037,22.628,0.322,65.26,,-115.39
2026-03-16T13:26:29,turquoise_orange,"3,4",R_only,43.73,-6,-33.91,-21.25,-33.8,-17.8,1.013,1.488,-12.662,125.467,0.4,-122.16,
2026-03-16T13:26:31,turquoise_orange,"3,4",both,43.73,-6,-20.88,-21.25,-16.79,-17.8,1.602,1.487,0.365,0.33,0.378,,
2026-03-16T13:26:33,turquoise_orange,"3,4",L_only,56.75,-6,-19.19,-43.48,-15.26,-43.15,1.574,1.039,24.286,0.243,53.413,,-114.3
