timestamp,device,out_channels,mode,frequency_hz,amplitude_dbfs,L_rms_dbfs,R_rms_dbfs,L_peak_dbfs,R_peak_dbfs,L_crest,R_crest,balance_db,L_thd_pct,R_thd_pct,L_xtalk_dbfs,R_xtalk_dbfs
2026-03-16T11:28:35,turquoise_rear,"5,6",L_only,20.0,-6,-26.19,-43.57,-21.57,-43.27,1.702,1.036,17.381,0.67,77.414,,-114.62
2026-03-16T11:28:37,turquoise_rear,"5,6",R_only,20.0,-6,-33.9,-27.08,-33.8,-23.28,1.012,1.55,-6.823,86.139,0.775,-115.1,
2026-03-16T11:28:39,turquoise_rear,"5,6",both,20.0,-6,-26.19,-27.08,-21.58,-23.28,1.701,1.549,0.885,0.638,0.71,,
2026-03-16T11:28:41,turquoise_rear,"5,6",L_only,25.96,-6,-24.37,-43.54,-19.92,-43.19,1.669,1.041,19.171,0.525,95.372,,-116.15
2026-03-16T11:28:43,turquoise_rear,"5,6",R_only,25.96,-6,-33.9,-24.99,-33.8,-21.33,1.012,1.524,-8.908,146.488,0.633,-118.82,
2026-03-16T11:28:45,turquoise_rear,"5,6",both,25.96,-6,-24.37,-24.99,-19.92,-21.33,1.669,1.524,0.62,0.53,0.586,,
2026-03-16T11:28:47,turquoise_rear,"5,6",L_only,33.69,-6,-22.51,-43.57,-18.25,-43.27,1.632,1.036,21.061,0.426,66.68,,-117.0
2026-03-16T11:28:49,turquoise_rear,"5,6",R_only,33.69,-6,-33.9,-22.97,-33.79,-19.43,1.013,1.502,-10.929,131.701,0.52,-117.75,
2026-03-16T11:28:51,turquoise_rear,"5,6",both,33.69,-6,-22.51,-22.96,-18.26,-19.43,1.632,1.502,0.452,0.437,0.486,,
2026-03-16T11:28:53,turquoise_rear,"5,6",L_only,43.73,-6,-20.71,-43.56,-16.63,-43.19,1.6,1.044,22.847,0.34,181.59,,-122.09
2026-03-16T11:28:55,turquoise_rear,"5,6",R_only,43.73,-6,-33.89,-21.06,-33.79,-17.62,1.012,1.485,-12.837,95.04,0.41,-119.18,
2026-03-16T11:28:57,turquoise_rear,"5,6",both,43.73,-6,-20.72,-21.05,-16.64,-17.62,1.599,1.485,0.338,0.351,0.385,,
2026-03-16T11:28:59,turquoise_rear,"5,6",L_only,56.75,-6,-19.04,-43.55,-15.12,-43.19,1.571,1.042,24.503,0.26,70.472,,-117.63
2026-03-16T11:29:01,turquoise_rear,"5,6",R_only,56.75,-6,-33.9,-19.31,-33.79,-15.94,1.013,1.473,-14.592,97.256,0.32,-119.2,
