frequency_hz,response_db
21.19,26.647
23.77,10.885
26.67,-2.038
29.92,-6.041
33.58,-5.315
37.67,-7.923
42.27,-7.132
47.43,-2.374
53.21,-9.885
59.71,-15.39
66.99,-11.322
75.17,-4.221
84.34,-2.979
94.63,-1.985
106.18,-1.329
119.13,-1.347
133.67,-8.916
149.98,-15.709
168.28,-8.175
188.81,-9.68
211.85,-3.339
237.7,2.417
266.7,0.429
299.25,1.986
335.76,-4.998
376.73,-9.246
422.7,-16.953
474.27,-13.731
532.15,-7.372
597.08,-4.213
669.93,-6.348
751.67,-1.196
843.39,0.975
946.3,0.545
1061.77,0.481
1191.32,-2.001
1336.69,-3.867
1499.79,-0.899
1682.79,3.311
1888.12,2.466
2118.51,4.36
2377.0,6.31
2667.04,-1.58
2992.47,2.232
3357.61,5.015
3767.3,4.563
4226.98,2.945
4742.75,4.474
5321.45,8.841
5970.77,14.486
6699.31,5.945
7516.75,1.747
8433.93,-1.379
9463.03,-7.476
10617.69,-9.763
11913.24,-9.138
13366.88,-4.636
14997.88,0.313
16827.9,10.077
18881.22,22.384
