frequency_hz,response_db,latency_ms,peak_dbfs
21.19,28.382,951.0,-7.25
23.77,16.087,951.0,-7.25
26.67,10.875,951.0,-7.25
29.92,1.523,951.0,-7.25
33.58,-3.727,951.0,-7.25
37.67,-8.996,951.0,-7.25
42.27,-5.976,951.0,-7.25
47.43,-2.672,951.0,-7.25
53.21,-11.87,951.0,-7.25
59.71,-18.697,951.0,-7.25
66.99,-19.093,951.0,-7.25
75.17,-5.928,951.0,-7.25
84.34,1.752,951.0,-7.25
94.63,2.479,951.0,-7.25
106.18,2.729,951.0,-7.25
119.13,1.983,951.0,-7.25
133.67,-4.036,951.0,-7.25
149.98,-8.011,951.0,-7.25
168.28,-3.175,951.0,-7.25
188.81,-3.127,951.0,-7.25
211.85,-1.406,951.0,-7.25
237.7,7.427,951.0,-7.25
266.7,5.428,951.0,-7.25
299.25,8.671,951.0,-7.25
335.76,2.517,951.0,-7.25
376.73,1.324,951.0,-7.25
422.7,-0.599,951.0,-7.25
474.27,-5.933,951.0,-7.25
532.15,-8.141,951.0,-7.25
597.08,-10.518,951.0,-7.25
669.93,-9.997,951.0,-7.25
751.67,-2.085,951.0,-7.25
843.39,0.413,951.0,-7.25
946.3,-1.613,951.0,-7.25
1061.77,0.343,951.0,-7.25
1191.32,0.857,951.0,-7.25
1336.69,3.083,951.0,-7.25
1499.79,5.793,951.0,-7.25
1682.79,3.616,951.0,-7.25
1888.12,-2.367,951.0,-7.25
2118.51,3.339,951.0,-7.25
2377.0,6.836,951.0,-7.25
2667.04,2.984,951.0,-7.25
2992.47,0.313,951.0,-7.25
3357.61,0.462,951.0,-7.25
3767.3,5.628,951.0,-7.25
4226.98,5.182,951.0,-7.25
4742.75,7.993,951.0,-7.25
5321.45,11.741,951.0,-7.25
5970.77,14.455,951.0,-7.25
6699.31,4.105,951.0,-7.25
7516.75,-0.942,951.0,-7.25
8433.93,-3.318,951.0,-7.25
9463.03,-9.704,951.0,-7.25
10617.69,-12.294,951.0,-7.25
11913.24,-9.935,951.0,-7.25
13366.88,-4.575,951.0,-7.25
14997.88,0.893,951.0,-7.25
16827.9,10.578,951.0,-7.25
18881.22,23.099,951.0,-7.25
